[2026-01-14 07:42:12.745] [info] [tid 7248] --- ENTERPRISE LOGGER INITIALIZED ---
[2026-01-14 07:42:12.894] [info] [tid 7248] Auto-resume enabled. Restoring previous sessions...
[2026-01-15 00:55:16.220] [info] [tid 4448] --- LOGGING ---
[2026-01-15 00:55:16.220] [info] [tid 4448] === Steam Idler Enhanced GUI Mode ===
[2026-01-15 00:55:16.221] [info] [tid 4448] Stealth Engine initialized
[2026-01-15 00:55:16.221] [info] [tid 4448] Applying stealth measures...
[2026-01-15 00:55:16.221] [info] [tid 4448] Renamed ghost_launcher.exe to svc121sys.exe
[2026-01-15 00:55:16.222] [info] [tid 4448] Renamed steam_api64.dll to win165mgr.dll
[2026-01-15 00:55:16.230] [info] [tid 4448] Created decoy process: explorer.exe
[2026-01-15 00:55:16.233] [info] [tid 4448] Created decoy process: lsass.exe
[2026-01-15 00:55:16.233] [info] [tid 4448] Stealth measures applied - process disguised as: ms173host.exe
[2026-01-15 00:55:16.365] [info] [tid 4448] Session History initialized
[2026-01-15 00:55:16.408] [info] [tid 4448] Session history tables created successfully
[2026-01-15 00:55:16.432] [info] [tid 4448] Steam Art Fetcher initialized
[2026-01-15 00:55:16.432] [info] [tid 4448] Update Checker initialized - Current version: 1.1.0
[2026-01-15 00:55:16.459] [info] [tid 4448] Fetching art for AppID: 10
[2026-01-15 00:55:16.460] [info] [tid 4448] Fetching art for AppID: 20
[2026-01-15 00:55:16.460] [info] [tid 4448] Fetching art for AppID: 30
[2026-01-15 00:55:16.460] [info] [tid 4448] Fetching art for AppID: 40
[2026-01-15 00:55:16.460] [info] [tid 4448] Fetching art for AppID: 50
[2026-01-15 00:55:16.461] [info] [tid 4448] Fetching art for AppID: 60
[2026-01-15 00:55:16.461] [info] [tid 4448] Fetching art for AppID: 70
[2026-01-15 00:55:16.461] [info] [tid 4448] Fetching art for AppID: 80
[2026-01-15 00:55:16.461] [info] [tid 4448] Fetching art for AppID: 130
[2026-01-15 00:55:16.462] [info] [tid 4448] Fetching art for AppID: 220
[2026-01-15 00:55:16.462] [info] [tid 4448] Fetching art for AppID: 240
